tournament_code,event_id,results_file_name
NARO_1,2015-019999,mro_2015_results
NYC_International_Riichi_Open,2015-019999,nyc_riichi_open_2015_results
Rochester_Riichi_Open_2016,2016-019999,rochester_open_2016_results
Rochester_Riichi_Open_2017,2017-019999,rochester_open_2017_results
Montréal_Riichi_Open_3,2017-019999,mro_2017_results
Rochester_Riichi_Open_2018,2018-019999,rochester_open_2018_results
2018_Seattle_Riichi_Open,2018-019999,seattle_open_2018_results
Montréal_Riichi_Open_4,2018-019999,mro_2018_results
Pacific_Mahjong_League_Open_2018,2018-019999,pml_open_2018_results
North_American_Open_2018,2018-019999,nao_2018_results
Rochester_Riichi_Open_2019,2019-019999,rochester_open_2019_results
Doragon_no_Taikai_2019,2019-019999,doragon_no_taikai_2019_results
WRC_Salt_Lake_Qualifier_2020,2019-019999,wrc_salt_lake_qualifier_2020_results
Montréal_Riichi_Open_5,2019-019999,mro_2019_results
Pacific_Mahjong_League_Open_2019,2019-019999,pml_open_2019_results
Rochester_Riichi_Open_2020,2020-019999,rochester_open_2020_results
Riichiout_Outrun_June_2020,2020-019999,riichiout_outrun_2020_results
Montréal_Riichi_Open_6_-_Online_Edition_/_Édition_en_ligne,2020-019999,mro_2020_results
Online_Fall_Montréal_Riichi_Tournament,2020-019999,online_fall_montreal_2020_results
7th_Montréal_Riichi_Open,2022-019999,mro_2022_results